"key","English","Chinese","Spanish","French","Japanese","Russian"
"Set to All","","设置到所有","Establacer a todos","Définir sur tous","すべて","Все"
"You received","","你获得了","Recibiste","Tu as reçu","あなたは受け取った","Ты принят"
"coins!","","金币！","monedas!","pièces de monnaie!","ゴールド！","монеты!"
"Upgrade","","升级","Potenciar","Améliorer","アップグレード","Обновить"
"Paused","","已暂停游戏","Pausado","En pause","ゲームが一時停止しました","Приостановлено"
"No Optimization (Smarter AI)","","无优化（AI更好）","Sin Optimización","Ordinaire","最適化なし","обычный"
"Less CPU Usage","","减少耗能","Menor de CPU","Moins CPU","少CPU使用","Меньше ЦП"
"Round","","回合","Redondo","Rond","円形","Круглый"
"Capture all strategic cities and destroy all strategic units in ","","占领战略城市并消灭敌军战略部队 限","Captura todas las ciudades estratégicas y destruye todas las unidades estratégicas en","Capturez toutes les villes stratégiques et détruisez toutes les unités stratégiques","戦略的都市を占領し、敵の戦略的勢力を破壊する","Захватите все стратегические города и уничтожьте все стратегические подразделения в"
"rounds","","回合","rondas","Les manches","円形","раунды"
"Hold all strategic cities for ","","防御战略城市","Mantenga todas las ciudades estratégicas para","Tenez toutes les villes stratégiques pour","防御戦略都市","Удерживайте все стратегические города для"
"City Production","","城市建造","Producción de la ciudad","Production urbaine","都市建設","Город Производство"
"Construction Site","","构筑防御工事","Sitio de construcción","Chantier de construction","要塞を構築する","Строительная площадка"
"Infantry","","步兵","Infantería","Infanterie","歩兵","Пехота"
"Buildings","","建筑物","Edificios","Immeubles","建物","Здания"
"Naval Production","","海军建设","Producción naval","Production navale","海軍の建物","Военно-морское производство"
"Navy","","海军","Armada","Marine","海軍","Флот"
"Advanced Tutorial","","教程","Tutorial avanzado","Tutoriel avancé","高度なチュートリアル","Расширенный учебник"
"Play tutorial 2?","","教程2？","¿Jugar al tutorial 2?","Jouer au didacticiel 2?","チュートリアル2をプレイしますか？","Сыграть в урок 2?"
"Play tutorial?","","教程？","¿Tutorial del juego?","Jouer au tutoriel?","チュートリアルを再生しますか？","Воспроизвести обучение?"
"Rocket Artillery","","火箭发射车","Artillería de cohetes","Artillerie de fusée","ロケット砲","Ракетная артиллерия"
"RocketArtillery","Rocket Artillery","火箭发射车","Artillería de cohetes","Artillerie de fusée","ロケット砲","Ракетная артиллерия"
"Battleship","","战列舰","Acorazado","Bataille navale","戦艦","Линкор"
"Asia 1937","","亚洲 1937","Asia 1937","Asie 1937","アジア1937","Азия 1937"
"Asia 1941","","亚洲 1941","Asia 1941","Asie 1941","アジア1941年","Азия 1941"
"Room ID: ","","房间号：","ID de habitación:","ID de la chambre:","部屋ID：","ID комнаты:"
"Downloading...","","下载中...","Descargando ...","Téléchargement...","ダウンロード中...","Скачивание ..."
"Download/map Error","","下载/地图错误","Error de descarga","Erreur de téléchargement","ダウンロード/マップエラー","Ошибка загрузки"
"Victory!","","胜利！","¡Victoria!","La victoire!","勝利！","Победа!"
"Defeat","","失败","Derrota","Défaite","敗北","Поражение"
"Mission time: ","","任务时间: ","Tiempo de misión: ","Temps de mission: ","ミッション時間：","Время миссии: "
"Opponent left the match","","对手离开了对战（投降）","El oponente abandonó el partido","L'adversaire a quitté le match","対戦相手は試合を離れました","Соперник покинул матч"
"Opponent's turn","","对手的回合","Turno del oponente","Tour de l'adversaire","対戦相手の番","Очередь оппонента"
"Opponent's turn; timeout: ","","对手回合；离线时间：","Turno del oponente; se acabó el tiempo:","Tour de l'adversaire; temps libre:","対戦相手の番。タイムアウト：","Очередь соперника; тайм-аут:"
"Surrender","","投降并退出游戏","Rendición","Abandon","降伏","Сдаться"
"Rifle Infantry","","步枪兵","Infantería con rifle","Infanterie de fusiliers","ライフル歩兵","Стрелковая пехота"
"RifleInfantry","Rifle Infantry","步枪兵","Infantería con rifle","Infanterie de fusiliers","ライフル歩兵","Стрелковая пехота"
"Assault Team","","冲锋枪队","Equipo de asalto","Équipe d'assaut","アサルトチーム","Штурмовая команда"
"AssaultInfantry","Assault Team","冲锋枪队","Equipo de asalto","Équipe d'assaut","AssaultInfantry","НападениеПехота"
"Light Tank","","轻型坦克","Tanque ligero","Char léger","軽戦車","Легкий танк"
"LightTank","Light Tank","轻型坦克","Tanque ligero","Char léger","軽戦車","LightTank"
"Medium Tank","","中型坦克","Tanque mediano","Char moyen","中戦車","Средний танк"
"MediumTank","Medium Tank","中型坦克","Tanque mediano","Char moyen","中戦車","Средний танк"
"SelfPropelledGun","Self-Propelled Gun","自行火炮","Pistola automática","Canon automoteur","自走砲","Самоходное орудие"
"Self-Propelled Gun","","自行火炮","Pistola automática","Canon automoteur","自走砲","Самоходное орудие"
"ModernTank","Modern Tank","冷战坦克","Tanque moderno","Réservoir moderne","現代の戦車","Современный Танк"
"Modern Tank","","冷战坦克","Tanque moderno","Réservoir moderne","現代の戦車","Современный Танк"
"Commando","","特种兵","Comando","Commando","コマンド","Коммандос"
"Field Artillery","","野战炮","Artillería de campaña","Artillerie de campagne","野戦砲","Полевая артиллерия"
"FieldArtillery","Field Artillery","野战炮","Artillería de campaña","Artillerie de campagne","野戦砲","Полевая артиллерия"
"Motorized Infantry","","机动化步兵","Infantería motorizada","Infanterie motorisée","自動車化歩兵","Моторизованная пехота"
"MotorizedInfantry","Motorized Infantry","机动化步兵","Infantería Motorizada","Infanterie motorisée","自動車化歩兵","Моторизованная пехота"
"Paratrooper Deployment","","空降城市士兵","Despliegue de paracaidistas","Déploiement de parachutistes","空挺部隊の配備","Размещение парашютистов"
"Strafing Run","","战斗机","Carrera de ametrallamiento","Course de strafing","機銃掃射","Strafing Run"
"Bombing Run","","轰炸机","Carrera de bombardeo","Bombardement","爆撃実行","Бомбардировка"
"Mechanized Infantry","","机械化步兵","Infantería mecanizada","Infanterie mécanisée","機械化歩兵","Механизированная пехота"
"MechanizedInfantry","","机械化步兵","Infantería mecanizada","Infanterie mécanisée","機械化歩兵","Механизированная пехота"
"Infantry Artillery","","步兵炮","Artillería de infantería","Artillerie d'infanterie","歩兵砲","Пехотная артиллерия"
"InfantryArtillery","Infantry Artillery","步兵炮","Artillería de infantería","Artillerie d'infanterie","歩兵砲","Пехотная артиллерия"
"Turret","","炮塔","Torreta","Tourelle","タレット","Турель"
"Coastal Turret","","海岸炮","Torreta costera","Tourelle côtière","沿岸砲塔","Прибрежная турель"
"CoastalTurret","Coastal Turret","海岸炮","Torreta costera","Tourelle côtière","沿岸砲塔","Прибрежная турель"
"Heavy Tank","","重型坦克","Tanque pesado","Char lourd","重戦車","Тяжелый танк"
"HeavyTank","Heavy Tank","重型坦克","Tanque pesado","Char lourd","重戦車","Тяжелый танк"
"Bunker","","机枪堡","Búnker","Bunker","陣地壕","Бункер"
"Destroyer","","驱逐舰","Destructor","Destructeur","デストロイヤー","Эсминец"
"Submarine","","潜艇","Submarino","Sous-marin","潜水艦","Подводная лодка"
"Cruiser","","巡洋舰","Crucero","Croiseur","クルーザー","Крейсер"
"Carrier","","航母","Portador","Transporteur","キャリア","Перевозчик"
"MissileLauncher","Missile Launcher","导弹发射器","Lanzador de misiles","Lance-missiles","ミサイルランチャー","Ракетная установка"
"Missile Launcher","","导弹发射器","Lanzador de misiles","Lance-missiles","ミサイルランチャー","Ракетная установка"
"Plains","","草原（平地）","llanuras","Plaines","草原","Равнины"
"Forest","","森林","Bosque","Forêt","森林","лес"
"Mountains","","山地","Montañas","Montagnes","山","Горы"
"HighMountains","High Mountains","高山地","Montañas altas","Hautes montagnes","高い山","Высокие горы"
"Snow","","雪地","Nieve","Neige","スノーフィールド","Снег"
"Water","","水","Agua","L'eau","水","вода"
"Oil","","油田","Petróleo","Pétrole","油田","Масло"
"Desert","","沙漠","Desierto","désert","砂漠","Пустыня"
"FREE COINS!","FREE COINS!","免费金币！","¡MONEDAS GRATIS!","PIÈCES GRATUITES!","無料コイン！","БЕСПЛАТНЫЕ МОНЕТЫ!"
"CHECK LATER!","","稍后查看！","¡COMPROBAR MÁS TARDE!","VÉRIFIEZ PLUS TARD!","後で見る！","ПРОВЕРИТЬ ПОЗЖЕ!"
"Note: reload this map to see flag changes","","注意：更改国旗需重新进入地图才能显示","Atención: vuelva este mapa para ver los cambios de bandera","Remarque : rechargez cette carte pour voir les changements de drapeau","注：フラグの変更を確認するには、このマップをリロードしてください","Примечание: перезагрузите эту карту, чтобы увидеть изменения флагов"
"Easy","","简单","Fácil","Facile","シンプル","Легко"
"Medium","","正常","Medio","Moyen","正常","Средняя"
"Hard","","困难","Difícil","Dur","難しい","Жесткий"
"Very hard","","很困难","Muy duro","Très dur","非常に難しい","Очень тяжело"
"Offensive","","进攻","Ofensiva","Offensive","攻撃","Наступление"
"Defensive","","防御","Defensivo","Défensive","防衛","Оборонительный"
"No General","","无将领","No general","Pas de général","将軍なし","Нет генерала"
"Appointed Generals: ","","钦定的将领：","Generales designados:","Généraux nommés:","任命された将軍：","Назначенные генералы:"
"LOADING VIDEOS...","","视频加载中。。。","CARGANDO VIDEOS ...","CHARGEMENT DES VIDÉOS ...","ビデオの読み込み。。。","ЗАГРУЗКА ВИДЕО ..."
"Open Custom Map","","加载地图","Abrir mapa personalizado","Ouvrir la carte personnalisée","マップをロード","Открыть пользовательскую карту"
"SHOP","","商店","TIENDA","MAGASIN","お店","МАГАЗИН"
"CAMPAIGN","","新游戏","CAMPAÑA","CAMPAGNE","新しいゲーム","КАМПАНИЯ"
"RESUME GAME","","继续游戏","REANUDAR JUEGO","REPRENDRE LE JEU","ゲームを続ける","ПРОДОЛЖИТЬ ИГРУ"
"Watch Video?","","观看视频？","¿Ver video?","Regarder la vidéo?","ビデオを見る？","Смотреть видео?"
"Untitled","","未命名","Intitulado","Sans titre","無題","Без названия"
"Show Tile Flag","","显示空地旗帜","Mostrar bandera de mosaico","Afficher le drapeau de tuile","タイルフラグを表示する","Показать флаг плитки"
"Map Editor","","地图修改器","Editor de mapas","Éditeur de carte","マップ修飾子","Редактор карт"
"Multiplayer","","联机","Multijugador","Multijoueur","オンライン","Мультиплеер"
"Disable Ads","","消除广告","Desactivar los anuncios","Désactiver les annonces","広告を削除する","Отключить рекламу"
"Community Maps","","社区地图","Mapas de la comunidad","Cartes de la communauté","コミュニティマップ","Карты Сообщества"
"Feedback","","反馈","Retroalimentación","Retour d'information","フィードバック","Обратная связь"
"Mission Details","","任务信息 ","Detalles de la misión","Détails de la mission","タスク情報","Детали миссии"
"Reward: ","","奖励：","Recompensa:","Récompense:","褒賞：","Награда:"
"Difficulty:","","难度：","Dificultad:","Difficulté:","困難：","Сложность:"
"Back","","返回","Atrás","Retour","戻る","Назад"
"Download Mission","","下载地图","Descarga Mission","Télécharger Mission","地図をダウンロード","Скачать миссию"
"Soviet Missions","","苏军关卡","Misiones soviéticas","Missions soviétiques","ソビエトミッション","Советские миссии"
"German Missions","","德军关卡","Misiones Alemanas","Missions allemandes","ドイツのミッション","Немецкие миссии"
"NATO Missions","","北约关卡","Misiones de la OTAN","Missions de l'OTAN","北大西洋条約機構","Миссии НАТО"
"WP Missions","","华约关卡","Misiones del Pacto de Varsovia","Missions du Pacte de Varsovie","ワルシャワ協定ミッション","Миссии Варшавского договора"
"Conquests","","征服模式","Conquistas","Conquêtes","征服モード","Завоевания"
"Community Highlights","","社区地图精选集","Aspectos destacados de la comunidad","Faits saillants de la communauté","コミュニティマップコレクション","Основные моменты сообщества"
"Max Generals:","","将领上限： ","Max generales:","Max généraux:","一般的な制限：","Макс Генералов:"
"Map Downloaded","","地图已下载","","","",""
"Open it in map editor","","用地图修改器打开","","","",""
"Uploading...","","上传中。。。","enviando...","Envoi en cours...","送信...","отправка..."
"Start Mission","","开始行动","Iniciar misión","Commencer la mission","行動を開始します","Начать миссию"
"Shop","","商店","Tienda","Magasin","お店","Магазин"
"More Coins","","更多","Más monedas","Plus de pièces","もっと","Больше монет"
"Random Match","","随机配对手","Partido aleatorio","Match aléatoire","ランダムにペアになった手","Случайное совпадение"
"Join Match","","加入房间","Unirse al partido","Rejoindre le match","ルームに参加","Присоединиться к матчу"
"Host Match","","创建房间","Partido anfitrión","Match hôte","部屋を作る","Хост Матч"
"Match ID","","房间编号","ID de coincidencia","Identifiant de correspondance","部屋番号","ID совпадения"
"Load Map","","加载地图","Cargar mapa","Charger la carte","マップをロード","Загрузить карту"
"Matching","","匹配中","Pareo","Correspondant à","マッチング","Соответствие"
"Assign city defence","","设置城防","Asignar defensa de la ciudad","Attribuer la défense de la ville","都市防衛を割り当てる","Назначьте оборону города"
"Waiting for opponent...","","等待中。。。","Esperando a un oponente...","En attendant l'adversaire...","対戦相手を待っています...","Жду соперника ..."
"Author","","作者","Autor","Auteur","著者","Автор"
"Author Name","","作者","Autor","Auteur","著者","Автор"
"Popular","","很火的","Popular","Populaire","とても暑い","Популярный"
"Map name ","","地图","Nombre del mapa","Nom de la carte","地図","Название карты"
"Latest","","新地图","Último","Dernier","新しい地図","Самый последний"
"New Map","","新地图","Nuevo mapa","Nouvelle carte","新しい地図","Новая карта"
"Upload Map","","上传地图","Subir mapa","Télécharger la carte","マップをアップロード","Загрузить карту"
"Upload","","上传","Subir","Télécharger","マップをアップロード","Загрузить карту"
"Create Map","","创建地图","Crear mapa","Créer une carte","マップを作成する","Создать карту"
"Medium Map","","中型地图","Mapa mediano","Carte moyenne","ミディアムマップ","Средняя карта"
"Small Map","","小型地图","Mapa pequeño","Petite carte","ミニマップ","Маленькая карта"
"Large Map","","大型地图","Mapa grande","Grande carte","大きな地図","Большая карта"
"Tiny Map","","超小型地图","Pequeño mapa","Carte minuscule","非常に小さな地図","Крошечная карта"
"Wide Medium Map","","宽型地图","Mapa ancho mediano","Carte large moyenne","ワイドマップ","Широкая средняя карта"
"Wide Large Map","","宽型大地图","Amplio mapa grande","Large Grande Carte","ワイドマップ","Широкая большая карта"
"Huge Map","","巨大型 地图","Mapa enorme","Carte énorme","巨大な地図","Огромная карта"
"Continental Map","","洲际大地图","Mapa continental","Carte continentale","大陸間地図","Континентальная карта"
"Import from Clipboard","","从粘贴板获取","Importar desde el portapapeles","Importer depuis le presse-papiers","ペーストボードから入手してください","Импорт из буфера обмена"
"Copy Map to Clipboard","","复制到粘贴板","Copiar mapa al portapapeles","Copier la carte dans le presse-papiers","ペーストボードにコピー","Копировать карту в буфер обмена"
"Allies/WP","","同盟国/华约","Aliados / WP","Alliés / WP","同盟国/ワルシャワ協定","Союзники / WP"
"Axis/NATO","","轴心国/北约","Eje / OTAN","Axe / OTAN","枢軸国/ NATO","Ось / НАТО"
"Neutral/non-aligned","","中立","Neutro / no alineado","Neutre / non aligné","中性","Нейтральные / неприсоединившиеся"
"Remove All","","所有都移除","Eliminar todo","Enlever tout","すべて削除する","Убрать все"
"Like Map","","点赞地图！","Me gusta el mapa","Comme la carte","地図のように！","Как карта"
"Sound","","游戏音量","Sonido","Du son","音","Звук"
"Round Limit","","回合限制","Límite de ronda","Limite de round","ラウンド制限","Лимит раундов"
"Round Limit:","","回合限制：","Límite de ronda:","Limite de round:","ラウンド制限：","Лимит раундов:"
"Fuel","","燃料","Combustible","Carburant","燃料","Топливо"
"Railroad","","铁路","Ferrocarril","Chemin de fer","鉄道","Железная дорога"
"Edit Category","","编辑项目","Editar categoria","Modifier la catégorie","プロジェクトを編集する","Изменить категорию"
"Edit tile country","","划分国界","Editar país del mosaico","Modifier le pays de la vignette","国境を分ける","Изменить страну плитки"
"Edit terrain","","添加地形","Editar terreno","Modifier le terrain","地形を追加する","Редактировать ландшафт"
"Add soldiers","","部署士兵","Agregar soldados","Ajouter des soldats","兵士を配置する","Добавить солдат"
"Assign veterency","","设置士兵经验值","Asignar veterency","Attribuer des vétérans","兵士の経験ポイントを割り当てる","Назначить ветераность"
"Assign unit size","","设置士兵单位大小","Asignar tamaño de unidad","Attribuer la taille de l'unité","兵士のユニットサイズを割り当てる","Назначить размер блока"
"Add city","","添加城市","Agregar ciudad","Ajouter une ville","都市を追加","Добавить город"
"Assign city name","","命名城市","Asignar nombre de ciudad","Attribuer le nom de la ville","名前付きの都市","Назначить название города"
"Assign city population","","设置城市人口","Asignar población de la ciudad","Attribuer la population de la ville","都市人口の分布","Назначить население города"
"Assign city industry","","设置城市工厂等级","Asignar industria de la ciudad","Attribuer l'industrie de la ville","都市の産業力を割り当てる","Назначьте городскую промышленность"
"Assign city airport","","设置城市机场等级","Asignar aeropuerto de la ciudad","Attribuer l'aéroport de la ville","市陸軍空港を割り当てる","Назначить городской аэропорт"
"Edit game settings","","地图总体设置","Editar la configuración del juego","Modifier les paramètres du jeu","全体的なマップ設定","Изменить настройки игры"
"Lock AI movement","","锁定AI移动","Bloquear el movimiento de la IA","Verrouiller le mouvement de l'IA","AIの動きをロックする","Блокировка движения ИИ"
"Assign strategic cities/units","","划分战略城市/士兵","Asignar ciudades / unidades estratégicas","Attribuer des villes / unités stratégiques","戦略的な都市/兵士を分割する","Назначьте стратегические города / подразделения"
"Assign general","","添加将领","Asignar general","Attribuer général","一般を追加します","Назначить генерала"
"Maximum Generals","","可用将领数量","Máximos generales","Généraux maximum","利用可能な将軍","Максимум генералов"
"Unit Size","","兵种大小","Tamaño de la unidad","Taille de l'unité","アームサイズ","Размер блока"
"City name","","城市名称","Nombre de la ciudad","Nom de Ville","都市名","Название города"
"Brush Size 1","","覆盖半径一格","Tamaño del cepillo 1","Taille du pinceau 1","サイズ1","Размер кисти 1"
"Brush Size 2","","覆盖半径两格","Tamaño del cepillo 2","Taille du pinceau 2","サイズ2","Размер кисти 2"
"Brush Size 3","","覆盖半径三格","Tamaño del cepillo 3","Taille du pinceau 3","サイズ3","Размер кисти 3"
"Brush Size 4","","覆盖半径四格","Tamaño del cepillo 4","Pinceau taille 4","サイズ4","Размер кисти 4"
"Brush Size 5","","覆盖半径五格","Tamaño del cepillo 5","Taille du pinceau 5","サイズ5","Размер кисти 5"
"Victory Conditions","","胜利条件","Condiciones de victoria","Conditions de victoire","勝利条件","Условия победы"
"Capture all strategic cities","","占领所有战略城市","Captura todas las ciudades estratégicas","Capturez toutes les villes stratégiques","すべての戦略的都市を占領する","Захватить все стратегические города"
"Hold all strategic cities","","防御所有战略城市","Mantenga todas las ciudades estratégicas","Tenir toutes les villes stratégiques","すべての戦略的都市を守る","Удерживайте все стратегические города"
"Manpower","","人力","Mano de obra","Main d'oeuvre","マンパワー","Трудовые ресурсы"
"AI detection","","电脑探测范围","Detección de IA","Détection IA","AI検出","Обнаружение AI"
"Save and Return to Menu","","保存并退出游戏","Guardar y volver al menú","Enregistrer et retourner au menu","ゲームを保存して終了します","Сохранить и вернуться в меню"
"Return to Menu","","返回主界面","Volver al menú","Retourner au menu","終了します","Bернуться в меню"
"Edit Country Information","","编辑国家信息","Editar recursos del país","Modifier les ressources du pays","国情報を編集する","Редактировать ресурсы страны"
"Aerial","","空军","Aéreo","Aérien","空軍","Антенна"
"Enemy Ai Attack Threshold","","敌军侦查范围","Umbral de ataque Enemy Ai","Seuil d'attaque de l'ennemi Ai","敵の偵察範囲","Порог атаки ИИ врага"
"Mission Name","","战役名称","Nombre de la misión","Nom de la mission","バトル名","Название миссии"
"Armor","","装甲","Armadura","Armure","装甲","Броня"
"Round limit","","回合","Límite de ronda","Limite de tour","円形","Лимит раунда"
"Player Country","","玩家控制的国家","País del jugador","Pays du joueur","プレイヤーが管理する国","Страна игрока"
"Country Alliance:","","国家阵营：","Alianza de país:","Alliance de pays:","ナショナルキャンプ：","Альянс стран:"
"Manage Generals","","将领 管理","Administrar generales","Gérer les généraux","ゼネラルマネジメント","Управляйте генералами"
"Music","","音乐","Música","La musique","音楽","Музыка"
"Artillery","","炮兵","Artillería","Artillerie","砲兵","Артиллерия"
"Industry","","工业","Industria","Industrie","業界","Промышленность"
"Resume Game","","返回游戏","Reanudar juego","Reprendre le jeu","ゲームに戻る","Продолжить игру"
"Movement","","移动","Movimiento","Mouvement","モバイル","Движение"
"Concealment: Receives no retaliation","","伪装：攻击时不会被反击","Ocultación: no recibe represalias","Dissimulation: ne reçoit aucune représailles","カモフラージュ：攻撃時に対抗されません","Сокрытие: не получает возмездия"
"Special","","特殊技能","Especial","Spécial","特殊技能","Специальный"
"Anti-Armor","","反装甲","Anti-Armadura","Anti-armure","アンチアーマー","Анти-броня"
"Attack Modifiers","","进攻加成","Ataque","Modificateurs d'attaque","攻撃的なボーナス","Модификаторы атаки"
"HP","","血量","HP","HP","血液量","HP"
"Basic Stats","","基本属性","Estadísticas básicas","Statistiques de base","基本属性","Базовая статистика"
"Defence Modifiers","","防御加成","Defensa","Modificateurs de défense","防御ボーナス","Модификаторы защиты"
"Range","","射程","Rango","Intervalle","範囲","Спектр"
"Recent Messages","","新闻","Mensajes recientes","Messages récents","ニュース","Последние сообщения"
"Go to link...","","加载链接。。。","Ir al enlace ...","Aller au lien ...","リンクをロードします。 。 。","Перейти по ссылке ..."
"Tutorials","","教程","Tutoriales","Tutoriels","チュートリアル","Учебники"
"Basics","","教程1","Lo esencial","Basiques","チュートリアル1","Основы"
"Advanced","","教程2","Avanzado","Avancée","チュートリアル2","Продвинутый"
"Continue Game","","进入游戏","Continua el juego","Continuer le jeu","ゲームに入る","Продолжить игру"
"Loading...","","加载中。。。","Cargando...","Chargement...","読み込んでいます...","Загружается ..."
"Note: please contact 2186215979@qq.com should any issues arise regarding purchases.","","备注：如果购买后有问题请联系2186215979@qq.com","Nota: póngase en contacto con 2186215979@qq.com si","Remarque: veuillez contacter 2186215979@qq.com en cas de problème concernant les achats.","注：購入後にご不明な点がございましたら、2186215979 @ qq.comまでお問い合わせください。","Примечание: обращайтесь по адресу 2186215979@qq.com, если возникнут какие-либо вопросы относительно покупок."
"70% bonus!","","+70%金币！","¡Bonificación del 70%!","Bonus de 70%!","+ 70％ゴールドコイン！","70% бонус!"
"150% bonus!","","+150%金币！","¡Bonificación del 150%!","Bonus de 150%!","+ 150％ゴールドコイン！","150% бонус!"
"Send","","发送","Enviar","Envoyer","送信","послать"
"Cancel","","取消","Cancelar","Annuler","キャンセル","отменить"
"Remember to join the Discord in the messages!","","点击消息栏加入QQ群！","","","",""
"What the general says","","将领说的话","Lo que dice el general","Ce que dit le général","将軍の言うこと","Что говорит генерал"
"Assign General","","选择将领","Asignar general","Attribuer général","一般を選択してください","Назначить генерала"
"Introduction","","开局介绍","Introducción","Introduction","前書き","Вступление"
"Introduction General","","说话的将领","Introducción General","Introduction Générale","はじめに司令官","Введение командир"
"End Round?","","结束回合？","¿Finalizar ronda?","Fin du tour?","ラウンドの終わり？","Конец раунда?"
"End Round","","结束","Finalizar ronda","Fin du tour","終","Конец раунда"
"Are you sure you want to end this turn?","","确定要结束此回合吗？","¿Estás seguro de que quieres terminar este turno?","Voulez-vous vraiment terminer ce tour?","このラウンドを終了してもよろしいですか？","Вы уверены, что хотите закончить этот ход?"
