"key","English","Chinese","Spanish","French","Japanese","Russian"
"Budapest","","布达佩斯","Budapest","Budapest","ブダペスト","Будапешт"
"Istanbul","","伊斯坦布尔","Estanbul","Istanbul","イスタンブール","Стамбул"
"Ankara","","安卡拉","Ankara","Ankara","アンカラ","Анкара"
"Zurich","","苏黎世","Zúrich","Zurich","チューリッヒ","Цюрих"
"Riga","","里加","Riga","Riga","リガ","Рига"
"Kursk","","库尔斯克","Kursk","Koursk","クルスク","Курск"
"Bryansk","","不梁斯克","Bryansk","Briansk","ブルスク","Брянск"
"Donetsk","","顿涅茨克","Donetsk","Donetsk","ドネツク","Донецк"
"Voronezh","","窝若捏之","Voronezh","Voronej","Voronezh","Воронеж"
"Saratov","","萨拉托夫","Saratov","Saratov","サラトフ","Саратов"
"Polzin","","玻尔兹","Polzin","Polzin","ボルツ","Пользин"
"Konigsburg","","柯尼斯堡","Konigsburg","Konigsburg","ケーニヒスベルク","Кенигсбург"
"Calais","","家来","Calais","Calais","帰宅","Кале"
"Antwerp","","安特卫普","Amberes","Anvers","アントワープ","Антверпен"
"Leon","","里昂","León","Léon","リヨン","Леон"
"Rotterdam","","鹿特丹","Rotterdam","Rotterdam","ロッテルダム","Роттердам"
"Tobruk","","托布鲁克","Tobruk","Tobrouk","トブルク","Тобрук"
"Khalkhin Gol","","诺门坎","Khalkhin Gol","Khalkhin Gol","ノミンカン","Халхин-Гол"
"Harbin","","哈尔滨","Harbin","Harbin","ハービン","Харбин"
"Pearl Harbor","","珍珠港","Pearl Harbor","Pearl Harbor","真珠湾","Перл Харбор"
"Bruxeles","","布鲁塞尔","Bruxelles","Bruxeles","ブリュッセル","Брюссель"
"Palermo","","巴勒莫","Palermo","Palerme","パレルモ","Палермо"
"Marseille","","马赛","Marsella","Marseille","マルセイユ","Марсель"
"Sevilla","","塞维亚","Sevilla","Séville","セビア","Севилья"
"Toulouse","","图鲁斯","Toulouse","Toulouse","トゥールーズ","Тулуза"
"Casablanca","","卡萨布兰卡","Casablanca","Casablanca","カサブランカ","Касабланка"
"Tunis","","突尼斯","Túnez","Tunis","チュニジア","Тунис"
"Milan","","米兰","Milán","Milan","ミラノ","Милан"
"Nanning","","南宁","Nanning","Nanning","ナニング","Наньнин"
"Hanoi","","河内","Hanoi","Hanoï","ハノイ","Ханой"
"Hangzhou","","杭州","Hangzhou","Hangzhou","杭州","Ханчжоу"
"Suzhou","","苏州","Suzhou","Suzhou","蘇州","Сучжоу"
"Yangzhou","","扬州","Yangzhou","Yangzhou","楊州","Янчжоу"
"Ningbo","","宁波","Ningbo","Ningbo","ニンボ","Нинбо"
"Kaohsiung","","高雄","Kaohsiung","Kaohsiung","高雄","Гаосюн"
"Keelung","","基隆","Keelung","Keelung","キールン","Килунг"
"Taoyuan","","桃源","Taoyuan","Taoyuan","タオユアン","Таоюань"
"Hsinchu","","新竹","Hsinchu","Hsinchu","シンチュ","Синьчжу"
"Port Moresby","","摩尔茨比港","Port Moresby","Port Moresby","ポートモレスビー","Порт-Морсби"
"Guadalcanal","","挂打卡奈儿","Guadalcanal","Guadalcanal","カネルをぶらぶら","Гуадалканал"
"Nanchang","","南昌","Nanchang","Nanchang","南昌","Наньчан"
"Dieppe","","第聂伯河","Dieppe","Dieppe","ドニーパー","Dieppe"
"Seattle","","西雅图","Seattle","Seattle","シアトル","Сиэтл"
"New York City","","纽约市","Nueva York","La ville de New York","ニューヨーク市","Нью-Йорк"
"Boston","","波士顿","Bostón","Boston","ボストン","Бостон"
"Miami","","迈亚密","Miami","Miami","マイアミ","Майами"
"Washington D.C","","华盛顿首都","Washington DC","Washington DC","ワシントンキャピタル","Вашингтон"
"New Orleans","","新奥尔良","Nueva Orleans","La Nouvelle Orléans","ニューオーリンズ","Жители Нового Орлеана"
"Chicago","","芝加哥","Chicago","Chicago","シカゴ","Чикаго"
"Cleveland","","克利夫兰","Cleveland","Cleveland","クリーブランド","Кливленд"
"San Francisco","","旧京山","San Francisco","San Francisco","サンフランシスコ","Сан-Франциско"
"Los Angeles","","洛杉矶","los Angeles","Los Angeles","ロサンゼルス","Лос-Анджелес"
"Detroit","","底特律","Detroit","Détroit","デトロイト","Детройт"
"Ottawa","","渥太华","Ottawa","Ottawa","オタワ","Оттава"
"St. Louis","","圣路易斯","San Louis","Saint Louis","セントルイス","Святой Луи"
"Atlanta","","亚特兰大","Atlanta","Atlanta","アトランタ","Атланта"
"Vancouver","","温哥华","Vancouver","Vancouver","バンクーバー","Ванкувер"
"Toronto","","多伦多","Toronto","Toronto","トロント","Торонто"
"Dallas","","达拉斯","Dallas","Dallas","ダラス","Даллас"
"Orlando","","奥尔兰多","Orlando","Orlando","オーランド","Орландо"
"Las Vegas","","拉斯维加斯","Las Vegas","Las Vegas","ラスベガス","Лас Вегас"
"Königsburg","","柯尼斯堡","Königsburg","Königsburg","ケーニヒスベルク","Кенигсбург"
"Lublin","","卢布林","Lublin","Lublin","ルブリン","Люблин"
"Dresden","","德列斯扽","Dresde","Dresde","ドレスキン","Дрезден"
"Sevastopol","","塞瓦斯特波儿","Sebastopol","Sébastopol","セバストポル","Севастополь"
"Brest","","不列斯特","Brest","Brest","ブレスト","Брест"
"Rznev","","热勒夫","Rznev","Rznev","Gerlev","Рзнев"
"Anchorage","","安克雷奇","Anclaje","Ancrage","アンカレッジ","Анкоридж"
"Hawaii","","夏威夷","Hawai","Hawaii","ハワイ","Гавайи"
"Mexico City","","墨西哥城","Ciudad de México","Mexico","メキシコシティ","Мехико"
"Washington","","华盛顿","Washington","Washington","ワシントン","Вашингтон"
"Jinan","","济南","Jinan","Jinan","ジナン","Цзинань"
"Xuzhou","","徐州","Xuzhou","Xuzhou","徐州","Сюйчжоу"
"Liaoning","","辽宁","Liaoning","Liaoning","遼寧","Ляонин"
"Hiroshima","","广岛","Hiroshima","Hiroshima","広島","Хиросима"
"Nagasaki","","长崎","Nagasaki","Nagasaki","長崎","Нагасаки"
"Osaka","","大阪","Osaka","Osaka","大阪","Осака"
"Seoul","","首尔","Seúl","Séoul","ソウル","Сеул"
"Vladivostok","","海参崴","Vladivostok","Vladivostok","ウラジヴォストク","Владивосток"
"Venice","","威尼斯","Venecia","Venise","ヴェネツィア","Венеция"
"Cologne","","科隆","Colonia","Eau de Cologne","ケルン","Кёльн"
"Vienna","","维也纳","Viena","Vienne","ウィーン","Вена"
"Frankfurt","","弗兰科夫","Frankfurt","Francfort","フランクオフ","Франкфурт"
"Blamey","","布拉米","Culpable","Blamey","ブラミ","Вина"
"Cunningham","","坎宁安","Cunningham","Cunningham","カニンガム","Каннингем"
"Dempsey","","登普西","Dempsey","Dempsey","デンプシー","Демпси"
"Dowding","","道丁","Dowding","Dowding","ダウディング","Dowding"
"Grace","","格雷斯","Gracia","la grâce","グレース","Грейс"
"Alexander","","亚历山大","Alejandro","Alexandre","アレクサンダー","Александр"
"Dill","","迪尔","eneldo","aneth","ダイアー","Укроп"
"Mountbatten","","蒙巴顿","Mountbatten","Mountbatten","マウントバッテン","Mountbatten"
"Portal","","珀尔特","Portal","Portail","パート","Портал"
"Pound","","磅","Libra","Livre","ポンド","Фунт"
"Slim","","斯利姆","Delgado","Svelte","スリム","Тонкий"
"Wavell","","韦维尔","Wavell","Wavell","ウェーブル","Wavell"
"Wingate","","温盖特","Wingate","Wingate","ウィンゲート","Wingate"
"Darlan","","达伦","Darlan","Darlan","ダレン","Дарлан"
"Bartus","","巴图斯","Bartus","Bartus","バトゥス","Bartus"
"Leclerc","","勒克莱尔","Leclerc","Leclerc","ルクレール","Leclerc"
"De Gaulle","","戴高乐","De Gaulle","De Gaulle","ドゴール","Де Голль"
"Juin","","朱安","Juin","Juin","ファン","Джуин"
"Auboyneau","","奥博尼奥","Auboyneau","Auboyneau","オボニオ","Auboyneau"
"Biver","","比弗","Biver","Biver","ビーバー","Бивер"
"Valin","","瓦林","Valin","Valin","ワリン","Валин"
"Gamelin","","加米林","Gamelin","Gamelin","ガミリン","Гамелен"
"Bene","","贝内","Bene","Bene","ベネ","Bene"
"Petain","","贝当","Pétain","Pétain","ベタイン","Petain"
"Martin","","马丁","Martín","Martin","マーティン","Мартин"
"Auchinleck","","奥钦莱克","Auchinleck","Auchinleck","オーチン湖","Auchinleck"
"Antonescu","","安东尼斯库","Antonescu","Antonescu","アントニスク","Антонеску"
"Boris","","波利斯","Boris","Boris","ポリス","Борис"
"Christian","","克里斯特安","cristiano","Christian","キリスト教徒","Христианин"
"Franco","","弗朗哥","Franco","Franco","フランコ","Франко"
"Horthy","","霍西","Horthy","Horthy","ホーシー","Хорти"
"Inonu","","伊努努","Inonu","Inonu","犬ぬ","Инону"
"Leopold","","利奥波德","Leopoldo","Léopold","レオポルド","Леопольд"
"Mahdi","","马赫迪","Mahdi","Mahdi","マハディ","Махди"
"Mannerheim","","曼纳海姆","Mannerheim","Mannerheim","マンネルハイム","Маннергейм"
"Nasser","","纳赛尔","Nasser","Nasser","ナセル","Насер"
"Olav","","奥拉夫","Olav","Olav","オラフ","Олав"
"Papagos","","帕帕哥斯","Papagos","Papagos","パパゴス","Папагос"
"Phibun","","披文","Phibun","Phibun","フィバン","Phibun"
"Smigly","","斯米格利","Smigly","Smigly","スミグリ","Smigly"
"Tito","","铁托","Tito","Tito","ティト","Тито"
"Winkleman","","温克尔曼","Winkleman","Winkleman","ウィンケルマン","Winkleman"
"Loading","","加载中","Cargando","Chargement","読み込み中","Загрузка"
"Bagramyan","","巴格拉米扬","Bagramyan","Bagramyan","バグラミャン","Баграмян"
"Budyonny","","布琼尼","Budyonny","Budyonny","ブジョニ","Буденный"
"Chuikov","","崔可夫","Chuikov","Chuikov","崔ケフ","Чуйков"
"Govorov","","戈沃罗夫","Govorov","Govorov","ゴボロフ","Говоров"
"Lukin","","卢金","Lukin","Lukin","ルーキン","Лукин"
"Malinovsky","","马林诺夫斯基","Malinovsky","Malinovsky","マリノフスキー","Малиновский"
"Kuznetsov","","库兹涅佐夫","Kuznetsov","Kuznetsov","クズネツォフ","Кузнецов"
"Shaposhnikov","","沙波斯尼科夫","Shaposhnikov","Shaposhnikov","シャポスニコフ","Шапошников"
"Timoshenko","","季莫申科","Timoshenko","Timochenko","ティモシェンコ","Тимошенко"
"Vasilevsky","","华西列夫斯基","Vasilevsky","Vasilevsky","ヴァシリエフスキー","Василевский"
"Vatutin","","瓦图丁","Vatutin","Vatutin","ヴァトゥーチン","Ватутин"
"Voroshilov","","伏罗希洛夫","Voroshilov","Vorochilov","ボロシロフ","Ворошилов"
"Paulus","","保卢斯","Paulus","Paulus","パウルス","Паулюс"
"Kleist","","克莱斯特","Kleist","Kleist","クライスト","Клейст"
"Kruger","","克鲁格","Kruger","Kruger","クルーガー","Крюгер"
"Keitel","","凯特尔","Keitel","Keitel","ケイテル","Кейтель"
"Kesselring","","凯瑟琳","Kesselring","Kesselring","キャサリン","Кессельринг"
"Bock","","博克","Bock","Bock","ボク","Бок"
"Seeckt","","塞克特","Seeckt","Seeckt","セケット","Seeckt"
"Kuckler","","屈希勒","Kuckler","Kuckler","クシュラー","Куклер"
"Brauchitsch","","布劳希奇","Brauchitsch","Brauchitsch","ブラウチッチ","Браухич"
"Goering","","戈林","Goering","Goering","ゴーリング","Геринг"
"Student","","斯图登特","Estudiante","Étudiant","シュトゥデント","Студент"
"Manteuffel","","曼陀菲尔","Manteuffel","Manteuffel","マンドフィル","Manteuffel"
"List","","李斯特","Lista","liste","リスト","Список"
"Glommer","","格莱姆","Glommer","Glommer","グラム","Гломмер"
"Heinrici","","海因里希","Heinrici","Heinrici","ハインリッヒ","Хейнрици"
"Witzleben","","维茨莱本","Witzleben","Witzleben","ヴィッツレーベン","Witzleben"
"Schoerner","","舍尔纳","Schoerner","Schoerner","シェルナー","Шернер"
"Model","","莫德尔","Modelo","Modèle","モデル","Модель"
"Fegelein","","菲格莱因","Fegelein","Fegelein","フィグライン","Fegelein"
"Meyer","","迈耶","Meyer","Meyer","マイヤー","Мейер"
"Leeb","","里布","Leeb","Leeb","リーブ","Leeb"
"Raeder","","雷德尔","Raeder","Raeder","リデル","Редер"
"Weichs","","魏克斯","Weichs","Weichs","ウィックス","Weichs"
"Eisonhower","","艾森豪威尔","Eisonhower","Eisonhower","アイゼンハワー","Эйзонхауэр"
"Clark","","克拉克","Clark","Clark","クラーク","Кларк"
"Smith","","史密斯","Herrero","Forgeron","スミス","Смит"
"Stilwell","","史迪威","Stilwell","Stilwell","スティルウェル","Stilwell"
"Halsey","","哈尔西","Halsey","Halsey","ハルシー","Холзи"
"Ike","","埃克","Ike","Ike","エック","Айк"
"Nimitz","","尼米兹","Nimitz","Nimitz","ニミッツ","Нимиц"
"Fletcher","","弗莱切","Fletcher","Fletcher","フレッチャー","Флетчер"
"Devers","","德弗斯","Devers","Devers","デバース","Devers"
"Spruance","","斯普鲁恩斯","Abeto","Spruance","スプルアンス","Spruance"
"Lee","","李","Sotavento","Lee","リー","Ли"
"default","","无将领（默认）","defecto","défaut","将軍なし","по умолчанию"
"Doolitle","","杜利特","Doolitle","Doolitle","デュリット","Doolitle"
"Mitchell","","米希尔","Mitchell","Mitchell","ミヒル","Митчелл"
"Kinkaid","","金凯德","Kinkaid","Kinkaid","キンケイド","Кинкейд"
"King","","凯恩","Rey","Roi","ケイン","король"
"Arnold","","阿诺德","Arnold","Arnold","アーノルド","Арнольд"
"Chennault","","陈纳德","Chennault","Chennault","シェノー","Chennault"
"McArthur","","麦克阿瑟","McArthur","McArthur","マッカーサー","МакАртур"
"McCain","","麦凯恩","McCain","McCain","マケイン","Маккейн"
"McAuliffe","","麦考利夫","McAuliffe","McAuliffe","マコーリフ","McAuliffe"
"SouthVietnam","South Vietnam","南越","Sur de Vietnam","Sud de Vietnam","南ベトナム","ЮгВьетнам"
"Brazil","","巴西","Brasil","Brésil","ブラジル","Бразилия"
"Cuba","","古巴","Cuba","Cuba","キューバ","Куба"
"Mexico","","墨西哥","México","Mexique","メキシコ","Мексика"
"NorthKorea","","北朝鲜","Corea del Norte","Corée du Nord","北朝鮮","Северная Корея"
"SouthKorea","","韩国","Corea del Sur","Corée du Sud","韓国","Южная Корея"
"Vietnam","","越南","Vietnam","Vietnam","ベトナム","Вьетнам"
"Australia","","澳大利亚","Australia","Australie","オーストラリア","Австралия"
"NewZealand","","纽西兰","Nueva Zelanda","Nouvelle-Zélande","ニュージーランド","Новая Зеландия"
"Canada","","加拿大","Canadá","Canada","カナダ","Канада"
"Chile","","智利","Chile","Chili","チリ","Чили"
"Colombia","","哥伦比亚","Colombia","Colombie","コロンビア","Колумбия"
"CommieGreece","Communist Greece","希腊苏维埃","Grecia comunista","Grèce communiste","共産主義ギリシャ","Коммунистическая Греция"
"Indonesia","","印度尼西亚","Indonesia","Indonésie","インドネシア","Индонезия"
"Malaysia","","马来西亚","Malasia","Malaisie","マレーシア","Малайзия"
"Singapore","","新加坡","Singapur","Singapour","シンガポール","Сингапур"
"Argentina","","阿根廷","Argentina","Argentine","アルゼンチン","Аргентина"
"Zhang Zizhong","","张自忠","Zhang Zizhong","Zhang Zizhong","張自忠","Чжан Цзычжун"
"Fu Zuoyi","","傅作义","Fu Zuoyi","Fu Zuoyi","傅作義","Фу Цзуой"
"Liu Xiang","","刘湘","Liu Xiang","Liu Xiang","劉翔","Лю Сян"
"Liu Wenhui","","刘文辉","Liu Wenhui","Liu Wenhui","劉文慧","Лю Вэньхуэй"
"Luo Zhuoying","","罗卓英","Luo Zhuoying","Luo Zhuoying","羅卓英","Ло Чжоин"
"Gu Zhutong","","顾祝同","Gu Zhutong","Gu Zhutong","顧祝同","Гу Чжутун"
"Zhang Xueliang","","张学良","Zhang Xueliang","Zhang Xueliang","張学良","Чжан Сюэлян"
"Sun Lianzhong","","孙连仲","Sun Lianzhong","Sun Lianzhong","孫連仲","Сунь Ляньчжун"
"Zhu Shaoliang","","朱绍良","Zhu Shaoliang","Zhu Shaoliang","朱紹良","Чжу Шаолян"
"Yu Hanmou","","余汉谋","Yu Hanmou","Yu Hanmou","余漢謀","Ю Ханмоу"
"Liu Zhi","","刘峙","Liu Zhi","Liu Zhi","劉智","Лю Чжи"
"Li Pinxian","","李品仙","Li Pinxian","Li Pinxian","李品仙","Ли Пинсянь"
"Jiang Dingwen","","蒋鼎文","Jiang Dingwen","Jiang Dingwen","江丁は尋ねた","Цзян Динвэнь"
"Feng Yuxiang","","冯玉祥","Feng Yuxiang","Feng Yuxiang","馮玉祥","Фэн Юйсян"
"He Yingqin","","何应钦","He Yingqin","He Yingqin","何応欽","Хэ Инцинь"
"Ma Hongkui","","马鸿逵","Ma Hongkui","Ma Hongkui","馬鴻霞","Ма Хункуи"
"Ma Hongbin","","马鸿宾","Ma Hongbin","Ma Hongbin","馬鴻莉","Ма Хунбинь"
"Emperor Puyi","","爱新觉罗溥仪","Emperador Puyi","Empereur Puyi","皇帝プイ","Император Пуи"
"Zhang Jinghui","","张景辉","Zhang Jinghui","Zhang Jinghui","張景恵","Чжан Цзинхуэй"
"Wei Lihuang","","卫立煌","Wei Lihuang","Wei Lihuang","衛立煌","Вэй Лихуан"
"Li Zongren","","李宗仁","Li Zongren","Li Zongren","李宗仁","Ли Цзунжэнь"
"Lin Yisheng","","林逸圣","Lin Yisheng","Lin Yisheng","リン・イシェン","Линь Ишэн"
"Max Level","","满级","Máximo nivel","Niveau maximum","最大レベル","Максимальный уровень"
"Armchair Commander","","二战风云","Comandante de sillón","Commandant de fauteuil","アームチェアコマンダー","Кресло командира"
"Buy","","购买","Comprar","Acheter","購入","купить"
"Manage","","管理","Gestionar","Gérer","管理する","Управлять"
"Strategic Run","","战略轰炸机","Carrera estratégica","Course stratégique","戦略的実行","Стратегический забег"
"Confirm?","","确定？","¿Confirmar?","Confirmer?","確認？","Подтвердить?"
"Locked","","未解锁","Bloqueado","Fermé à clé","ロック済み","Заблокировано"
"Delete Map","","删除地图","Eliminar mapa","Supprimer la carte","マップを削除する","Удалить карту"
"You received","","你获得了","Recibiste","Tu as reçu","あなたは受け取った","Ты принят"
"coins!","","金币！","monedas!","pièces de monnaie!","ゴールド！","монеты!"
"Upgrade","","升级","Potenciar","Améliorer","アップグレード","Обновить"
"Bradley","","布拉德利","Bradley","Bradley","ブラッドリー","Брэдли"
"Montgomery","","蒙哥马利","Montgomery","Montgomery","モンゴメリー","Монтгомери"
"Patton","","巴顿","Patton","Patton","バートン","Паттон"
"Peng Dehuai","","彭德怀","Peng Dehuai","Peng Dehuai","彭徳懐","Пэн Дэхуай"
"Paused","","已暂停游戏","Pausado","En pause","ゲームが一時停止しました","Приостановлено"
"Round","","回合","Redondo","Rond","円形","Круглый"
"Capture all strategic cities and destroy all strategic units in ","","占领战略城市并消灭敌军战略部队 限","Captura todas las ciudades estratégicas y destruye todas las unidades estratégicas en","Capturez toutes les villes stratégiques et détruisez toutes les unités stratégiques","戦略的都市を占領し、敵の戦略的勢力を破壊する","Захватите все стратегические города и уничтожьте все стратегические подразделения в"
"rounds","","回合","rondas","Les manches","円形","раунды"
"Hold all strategic cities for ","","防御战略城市","Mantenga todas las ciudades estratégicas para","Tenez toutes les villes stratégiques pour","防御戦略都市","Удерживайте все стратегические города для"
"City Production","","城市建造","Producción de la ciudad","Production urbaine","都市建設","Город Производство"
"Construction Site","","构筑防御工事","Sitio de construcción","Chantier de construction","要塞を構築する","Строительная площадка"
"Infantry","","步兵","Infantería","Infanterie","歩兵","Пехота"
"Buildings","","建筑物","Edificios","Immeubles","建物","Здания"
"Naval Production","","海军建设","Producción naval","Production navale","海軍の建物","Военно-морское производство"
"Navy","","海军","Armada","Marine","海軍","Флот"
"Mao Zedong","","毛泽东","Mao Zedong","Mao Zedong","毛沢東","Мао Зедун"
"He Long","","贺龙","He Long","He Long","賀竜","Он длинный"
"Xiao Jinguang","","萧劲光","Xiao Jinguang","Xiao Jinguang","蕭勅","Сяо Цзингуан"
"Xu Haidong","","徐海东","Xu Haidong","Xu Haidong","徐海東","Сюй Хайдун"
"Ye Jianying","","叶剑英","Ye Jianying","Ye Jianying","葉剣英","Е Цзяньин"
"Su Yu","","粟裕","Su Yu","Su Yu","スーユ","Су Ю"
"Chen Yi","","陈毅","Chen Yi","Chen Yi","陳怡","Чен И"
"Chen Xilian","","陈锡联","Chen Xilian","Chen Xilian","陳錫聯","Чэнь Силиан"
"Chiang Kaishek","","蒋中正","Chiang Kai-Shek","Chiang Kaishek","蔣介石","Чан Кай-ши"
"Wang Yaowu","","王耀武","Wang Yaowu","Wang Yaowu","王耀武","Ван Яову"
"Bai Chongxi","","白崇禧","Bai Chongxi","Bai Chongxi","白崇禧","Бай Чунси"
"Fan Hanjie","","范汉杰","Fan Hanjie","Fan Hanjie","范漢傑","Fan Hanjie"
"Chen Shaokuan","","陈绍宽","Chen Shaokuan","Chen Shaokuan","陳紹寛","Чен Шаокуань"
"Zhou Zhirou","","周至柔","Zhou Zhirou","Zhou Zhirou","周志郎","Чжоу Чжироу"
"Xue Yue","","薛岳","Xue Yue","Xue Yue","薛岳","Сюэ Юэ"
"Sun Li-jen","","孙立人","Sun Li-jen","Sun Li-jen","孫立人","Сунь Ли-жэнь"
"Yan Xishan","","阎锡山","Yan Xishan","Yan Xishan","閻錫山","Ян Сишань"
"Sheng Shicai","","盛世才","Sheng Shicai","Sheng Shicai","盛世才","Шэн Шицай"
"Ma Bufang","","马步芳","Ma Bufang","Ma Bufang","馬歩芳","Ма Буфанг"
"Du Yuming","","杜聿明","Du Yuming","Du Yuming","杜聡明","Ду Юймин"
"Long Yun","","龙云","Long Yun","Long Yun","竜雲","Лонг Юнь"
"Liu Bocheng","","刘伯承","Liu Bocheng","Liu Bocheng","劉伯承","Лю Боченг"
"Xu Shiyou","","许世友","Xu Shiyou","Xu Shiyou","許世友","Сюй Шию"
"Xu Xiangqian","","徐向前","Xu Xiangqian","Xu Xiangqian","徐向前","Сюй Сянцянь"
"Zhu De","","朱德","Zhu De","Zhu De","朱徳","Чжу Де"
"Campioni","","坎皮奥尼","Campioni","Campioni","カンピオーニ","Campioni"
"Messe","","梅西","Messe","Messe","メッセ","Messe"
"Graziani","","格拉齐养你","Graziani","Graziani","グラツィアーニ","Грациани"
"Balbo","","巴尔博","Balbo","Balbo","バルボ","Бальбо"
"Badoglio","","巴多格里奥","Badoglio","Badoglio","バドリオ","Badoglio"
"Enrico","","恩里科","Enrico","Enrico","エンリコ","Энрико"
"Cavallero","","卡瓦列罗","Cavallero","Cavallero","カヴァレロ","Cavallero"
"Yanan","","延安","Yanan","Yanan","やなん","Янан"
"Qingdao","","青岛","Qingdao","Qingdao","青島","Циндао"
"Shanghai","","上海","Llevar a la fuerza","Shanghai","上海","Шанхай"
"Nanking","","南京","Nanking","Nanking","南京","Нанкин"
"Chongking","","重庆","Chongking","Chongking","重慶","Chongking"
"Hong Kong","","香港","Hong Kong","Hong Kong","香港","Гонконг"
"Haikou","","海口","Haikou","Haikou","海口","Хайкоу"
"Taipei","","台北","Taipei","Taipei","台北","Тайбэй"
"Soeul","","首尔","Soeul","Soeul","ソウル","Soeul"
"Pyongyang","","平壤","Pyongyang","Pyongyang","平壌","Пхеньян"
"Lin Biao","","林彪","Lin Biao","Lin Biao","林彪","Линь Бяо"
"Shenyang","","沈阳","Shenyang","Shenyang","瀋陽","Шэньян"
"Changchun","","长春","Changchun","Changchun","長春","Чанчунь"
"Chita","","赤塔","Chita","Chita","知多","Чита"
"New Siberia","","新西伯利亚","Nueva siberia","Nouvelle Sibérie","ニューシベリア","Новая Сибирь"
"Kunming","","昆明","Kunming","Kunming","昆明","Куньмин"
"Guangzhou","","广州","Guangzhou","Guangzhou","広州","Гуанчжоу"
"Okinawa","","冲绳","Okinawa","Okinawa","沖縄","Окинава"
"Yokohama","","横滨","Yokohama","Yokohama","横浜","Иокогама"
"Tokyo","","东京","Tokio","Tokyo","東京","Токио"
"Sapporo","","札幌","Sapporo","Sapporo","札幌","Саппоро"
"Guilin","","桂林","Guilin","Guilin","桂林","Гуйлинь"
"Peking","","北平","Pekín","Pékin","北京","Пекин"
"Wuhan","","武汉","Wuhan","Wuhan","武漢","Ухань"
"Advanced Tutorial","","教程","Tutorial avanzado","Tutoriel avancé","高度なチュートリアル","Расширенный учебник"
"Play tutorial 2?","","教程2？","¿Jugar al tutorial 2?","Jouer au didacticiel 2?","チュートリアル2をプレイしますか？","Сыграть в урок 2?"
"Play tutorial?","","教程？","¿Tutorial del juego?","Jouer au tutoriel?","チュートリアルを再生しますか？","Воспроизвести обучение?"
"ChineseGuangxi","Guangxi Clique","广西军阀","Guangxi chino","Chinois Guangxi","中国の広西","Китайский Гуанси"
